year,region_bld,clim,arch,urt,value
2015,C-EEU-SVN,Zone_4A Mixed Humid,sfh,rur,0.196
2015,C-EEU-SVN,Zone_4A Mixed Humid,sfh,urb,0.249
2015,C-EEU-SVN,Zone_5A Cool Humid,mfh,rur,0.169
2015,C-EEU-SVN,Zone_5A Cool Humid,mfh,urb,0.185
2015,C-EEU-SVN,Zone_5A Cool Humid,sfh,rur,0.214
2015,C-EEU-SVN,Zone_5A Cool Humid,sfh,urb,0.147
2015,C-EEU-SVN,Zone_7A Very cold Humid,mfh,rur,0.213
2015,C-EEU-SVN,Zone_7A Very cold Humid,sfh,rur,0.225
2015,C-WEU-AUT,Zone_4A Mixed Humid,mfh,rur,0.21
2015,C-WEU-AUT,Zone_4A Mixed Humid,mfh,urb,0.134
2015,C-WEU-AUT,Zone_4A Mixed Humid,sfh,rur,0.174
2015,C-WEU-AUT,Zone_4A Mixed Humid,sfh,urb,0.214
2015,C-WEU-AUT,Zone_5A Cool Humid,mfh,rur,0.224
2015,C-WEU-AUT,Zone_5A Cool Humid,mfh,urb,0.178
2015,C-WEU-AUT,Zone_5A Cool Humid,sfh,rur,0.166
2015,C-WEU-AUT,Zone_5A Cool Humid,sfh,urb,0.167
2015,C-WEU-AUT,Zone_6A Cold Humid,mfh,rur,0.242
2015,C-WEU-AUT,Zone_6A Cold Humid,mfh,urb,0.208
2015,C-WEU-AUT,Zone_6A Cold Humid,sfh,rur,0.163
2015,C-WEU-AUT,Zone_6A Cold Humid,sfh,urb,0.139
2015,C-WEU-AUT,Zone_7A Very cold Humid,mfh,rur,0.296
2015,C-WEU-AUT,Zone_7A Very cold Humid,mfh,urb,0.18
2015,C-WEU-AUT,Zone_7A Very cold Humid,sfh,rur,0.192
2015,C-WEU-AUT,Zone_7A Very cold Humid,sfh,urb,0.127
2015,C-WEU-BEL,Zone_4A Mixed Humid,mfh,rur,0.161
2015,C-WEU-BEL,Zone_4A Mixed Humid,mfh,urb,0.24
2015,C-WEU-BEL,Zone_4A Mixed Humid,sfh,rur,0.092
2015,C-WEU-BEL,Zone_4A Mixed Humid,sfh,urb,0.082
2015,C-WEU-BEL,Zone_5A Cool Humid,mfh,rur,0.195
2015,C-WEU-BEL,Zone_5A Cool Humid,mfh,urb,0.191
2015,C-WEU-BEL,Zone_5A Cool Humid,sfh,rur,0.173
2015,C-WEU-BEL,Zone_5A Cool Humid,sfh,urb,0.092
2015,C-WEU-CYP,Zone_3A Warm Humid,mfh,urb,0.283
2015,C-WEU-CYP,Zone_3A Warm Humid,sfh,urb,0.279
2015,C-WEU-DEU,Zone_4A Mixed Humid,mfh,rur,0.098
2015,C-WEU-DEU,Zone_4A Mixed Humid,mfh,urb,0.07
2015,C-WEU-DEU,Zone_4A Mixed Humid,sfh,rur,0.054
2015,C-WEU-DEU,Zone_4A Mixed Humid,sfh,urb,0.037
