region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1970,p2,0.09945637569877704
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1975,p2,0.09369329546965077
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1980,p2,0.08839505997761159
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1985,p2,0.136553697985735
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1990,p2,0.08554232955852259
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1995,p3,0.01686444743708762
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2000,p3,0.0322019495145543
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2005,p3,0.029056886174463503
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2010,p3,0.033454141409528314
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2015,p3,0.01807205161028487
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2020,p3,0.020088984818467298
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1945,p1,0.059937475021283194
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1960,p2,0.145294166471042
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1965,p2,0.1413891390854562
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1970,p2,0.09945637561665821
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1975,p2,0.09369329539229038
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1980,p2,0.08839505990462584
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1985,p2,0.13655369837392065
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1990,p2,0.08554232980169657
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1995,p3,0.016864446714186486
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2000,p3,0.032201949606095834
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2005,p3,0.02905688563480463
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2010,p3,0.033454141949187166
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2015,p3,0.01807205161028487
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2020,p3,0.020088984818467298
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1945,p1,0.05993747502128319
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1960,p2,0.145294166471042
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1965,p2,0.14138913885299123
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1970,p2,0.09945637569877704
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1975,p2,0.09369329546965077
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1980,p2,0.08839505997761159
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1985,p2,0.136553697985735
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1990,p2,0.08554232955852259
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1995,p3,0.01686444743708762
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2000,p3,0.0322019495145543
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2005,p3,0.029056886174463503
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2010,p3,0.033454141409528314
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2015,p3,0.01807205161028487
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2020,p3,0.020088984818467298
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1945,p1,0.059937475021283194
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1960,p2,0.145294166471042
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1965,p2,0.1413891390854562
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1970,p2,0.09945637561665821
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1975,p2,0.09369329539229038
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1980,p2,0.08839505990462584
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1985,p2,0.13655369837392065
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1990,p2,0.08554232980169657
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1995,p3,0.016864446714186486
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2000,p3,0.032201949606095834
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2005,p3,0.02905688563480463
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2010,p3,0.033454141949187166
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2015,p3,0.01807205161028487
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2020,p3,0.020088984818467298
