region_bld,clim,urt,inc_cl,mat,year,value
C-EEU-HRV,Zone_3A Warm Humid,rur,q1,sub,2015,0.0
C-EEU-HRV,Zone_3A Warm Humid,urb,q1,sub,2015,0.0
C-EEU-HUN,Zone_4A Mixed Humid,rur,q1,sub,2015,0.0
C-EEU-HUN,Zone_4A Mixed Humid,urb,q1,sub,2015,0.0
C-EEU-HUN,Zone_5A Cool Humid,rur,q1,sub,2015,0.0
C-EEU-HUN,Zone_5A Cool Humid,urb,q1,sub,2015,0.0
C-WEU-IRL,Zone_5A Cool Humid,rur,q1,sub,2015,0.0
C-WEU-IRL,Zone_5A Cool Humid,urb,q1,sub,2015,0.0
C-WEU-IRL,Zone_4A Mixed Humid,rur,q1,sub,2015,0.0
C-WEU-IRL,Zone_4A Mixed Humid,urb,q1,sub,2015,0.0
C-WEU-ITA,Zone_4A Mixed Humid,rur,q1,sub,2015,0.0
C-WEU-ITA,Zone_4A Mixed Humid,urb,q1,sub,2015,0.0
C-WEU-ITA,Zone_5A Cool Humid,rur,q1,sub,2015,0.0
C-WEU-ITA,Zone_5A Cool Humid,urb,q1,sub,2015,0.0
C-WEU-ITA,Zone_7A Very cold Humid,rur,q1,sub,2015,0.0
C-WEU-ITA,Zone_7A Very cold Humid,urb,q1,sub,2015,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2015,0.0
C-WEU-ITA,Zone_6A Cold Humid,urb,q1,sub,2015,0.0
C-WEU-ITA,Zone_3A Warm Humid,rur,q1,sub,2015,0.0
C-WEU-ITA,Zone_3A Warm Humid,urb,q1,sub,2015,0.0
C-WEU-ITA,Zone_4C Mixed Marine,rur,q1,sub,2015,0.0
C-WEU-ITA,Zone_4C Mixed Marine,urb,q1,sub,2015,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q1,sub,2015,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2015,0.0
C-EEU-LTU,Zone_6A Cold Humid,rur,q1,sub,2015,0.0
C-EEU-LTU,Zone_6A Cold Humid,urb,q1,sub,2015,0.0
C-EEU-LTU,Zone_5A Cool Humid,rur,q1,sub,2015,0.0
C-EEU-LTU,Zone_5A Cool Humid,urb,q1,sub,2015,0.0
C-WEU-LUX,Zone_5A Cool Humid,rur,q1,sub,2015,0.0
C-WEU-LUX,Zone_5A Cool Humid,urb,q1,sub,2015,0.0
C-EEU-LVA,Zone_6A Cold Humid,rur,q1,sub,2015,0.0
C-EEU-LVA,Zone_6A Cold Humid,urb,q1,sub,2015,0.0
C-WEU-MLT,Zone_3A Warm Humid,rur,q1,sub,2015,0.0
C-WEU-MLT,Zone_3A Warm Humid,urb,q1,sub,2015,0.0
C-WEU-NLD,Zone_5A Cool Humid,rur,q1,sub,2015,0.0
C-WEU-NLD,Zone_5A Cool Humid,urb,q1,sub,2015,0.0
C-WEU-NLD,Zone_4A Mixed Humid,rur,q1,sub,2015,0.0
C-WEU-NLD,Zone_4A Mixed Humid,urb,q1,sub,2015,0.0
C-EEU-POL,Zone_5A Cool Humid,rur,q1,sub,2015,0.0
C-EEU-POL,Zone_5A Cool Humid,urb,q1,sub,2015,0.0
C-EEU-POL,Zone_6A Cold Humid,rur,q1,sub,2015,0.0
C-EEU-POL,Zone_6A Cold Humid,urb,q1,sub,2015,0.0
C-WEU-PRT,Zone_3C Warm Marine,rur,q1,sub,2015,0.0
C-WEU-PRT,Zone_3C Warm Marine,urb,q1,sub,2015,0.0
C-WEU-PRT,Zone_4C Mixed Marine,rur,q1,sub,2015,0.0
C-WEU-PRT,Zone_4C Mixed Marine,urb,q1,sub,2015,0.0
C-WEU-PRT,Zone_4A Mixed Humid,rur,q1,sub,2015,0.0
C-WEU-PRT,Zone_4A Mixed Humid,urb,q1,sub,2015,0.0
C-WEU-PRT,Zone_3A Warm Humid,rur,q1,sub,2015,0.0
C-WEU-PRT,Zone_3A Warm Humid,urb,q1,sub,2015,0.0
C-EEU-ROU,Zone_5A Cool Humid,rur,q1,sub,2015,0.0
C-EEU-ROU,Zone_5A Cool Humid,urb,q1,sub,2015,0.0
C-EEU-ROU,Zone_6A Cold Humid,rur,q1,sub,2015,0.0
C-EEU-ROU,Zone_6A Cold Humid,urb,q1,sub,2015,0.0
