region_bld,region_gea,region_nuts,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,1980,p2,0.07376507722593172
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,1985,p2,0.06116721692501024
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,1990,p2,0.038317426078958806
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,1995,p3,0.007554180735643897
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,2000,p3,0.014424388796638358
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,2005,p3,0.0050183723533949376
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,2010,p3,0.005777816080304767
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,2015,p3,0.0037530767918504617
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,2020,p3,0.002363950966295421
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.21778476340168143
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.3184730061203591
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,1965,p2,0.1064752539515927
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,1970,p2,0.07489714518059862
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,1975,p2,0.07055716945178653
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.06656725216332517
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,1985,p2,0.05999958450383361
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,1990,p2,0.03758597758031807
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,1995,p3,0.007409977569539749
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.014149038946484798
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,2005,p3,0.005457366692756957
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.006283244390570422
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.006620466290395561
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.0077397537567574
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.21778476340168143
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,1960,p2,0.3184730061203591
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,1965,p2,0.1064752539515927
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,1970,p2,0.07489714518059862
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,1975,p2,0.07055716945178653
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,1980,p2,0.06656725216332517
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,1985,p2,0.05999958450383361
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,1990,p2,0.03758597758031807
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,1995,p3,0.007409977569539749
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,2000,p3,0.014149038946484798
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,2005,p3,0.005457366591400042
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,2010,p3,0.006283244491927338
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,2015,p3,0.006620466290395561
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,sfh,2020,p3,0.0077397537567574
C-EEU-BGR,EEU,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.21778476340168143
C-EEU-BGR,EEU,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.3184730061203591
C-EEU-BGR,EEU,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,perm,mfh,1965,p2,0.1064752539515927
C-EEU-BGR,EEU,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,perm,mfh,1970,p2,0.07489714518059862
C-EEU-BGR,EEU,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,perm,mfh,1975,p2,0.07055716945178653
